,actr,año_nac,conocido_por,que_hace,premios
6044,Marilyn Norry,,"'Little Women', 'Beyond the Black Rainbow', 'Jennifer's Body', 'Mission to Mars'","Actor, Stunts, Additional Crew",1 win
6045,Marilyn Torres,,"'El rey del barrio', 'Sucedió en Manhattan', 'La jove de l'aigua', 'La gran enfermedad del amor'",Actor,0
6046,Marina Artigas,,"'Focus', 'El Hijo de Dios', 'Nélida', 'The Speed of Thought'",Actor,0
6047,Marina Chirkova,,"'Ya budu zhit', 'Detektor'",Actress,0
6048,Marina Confalone,1951.0,"'Il vizio della speranza', 'La parola amore esiste', 'Così parlò Bellavista', 'Incantesimo napoletano'",Actress,12 wins & 7 nominations
6049,Marina Franklin,,"'Y de repente tú', 'Spirit Cabinet', '5 Pounds of Pressure', 'Divorce'","Actress, Director, Writer",1 nomination
6050,Marina Kalinichenko,,'Pokhorony Stalina',Cinematographer,0
6051,Marina Lyon,1983.0,"'Mentes criminales', 'The Spirit', 'The Anniversary at Shallow Creek', 'Paranormal Adoption'","Actor, Additional Crew, Soundtrack",5 wins & 16 nominations
6052,Marina Olivé,,'Death at the Christmas Tree Party',Actress,0
6053,Marine Matthieu,,'Jour blanc',"Actress, Writer",0
6054,Marinelia Morcilla,,'Regalo',Actor,0
6055,Mario Adorf,1930.0,"'Der große Bellheim', 'El timbal de llauna', 'Der Schattenmann', 'La tienda roja'","Actor, Writer, Director",23 wins & 4 nominations
6056,Mario Casas,1986.0,"'3 metros sobre el cielo', 'Las brujas de Zugarramurdi', 'El bar', 'No matarás'","Actress, Producer, Soundtrack",5 wins & 10 nominations
6057,Mario David,1927.0,"'El infierno', 'Fantômas', 'L'enfer', 'À vous de jouer Milord'",Actor,0
6058,Mario Faube,,'La sangre de un valiente',"Actor, Script and Continuity Department, Writer",0
6059,Mario Rocha,,"'El infiltrado Larceny', 'The Chemist', 'Run Like Hell', 'D-Day'",Actor,0
6060,Mario Vedoya,,"'Toledo', 'Sofía', 'El sueño de Ibiza', 'La sombra de Caín'","Actor, Producer, Writer",4 nominations
6061,Mariola Fuentes,1970.0,"'Los abrazos rotos', 'Hable con ella', 'Dos tipos duros', 'Carne trémula'",Actor,0
6062,Marion Brooks,,"'Area 407', 'The Crying Dead', 'Call to Action', 'Stone Markers'","Cinematographer, Camera and Electrical Department, Script and Continuity Department",0
6063,Marion Cotillard,1975.0,"'La Vie En Rose', 'Inception', 'Two Days, One Night', 'Rust and Bone'","Actor, Producer, Director",45 wins & 36 nominations
6064,Marion Mitterhammer,1965.0,"'Taktik', 'Vanessa', 'Hidden Reserves', 'The Fatherless'",Actor,1 win & 5 nominations
6065,Marisa Berenson,1947.0,"'Cabaret', 'Barry Lyndon', 'Cinéman', 'Branagh Theatre Live: Romeo and Juliet'","Actress, Soundtrack",Nominated for 1 BAFTA Award: 1 win & 3 nominations total
6066,Marisa Borini,1930.0,"'Un castillo en Italia', 'Locas de alegría', 'Es más fácil para un camello...', 'La caja negra'",Actress,1 nomination
6067,Marisa Paredes,1946.0,"'All About My Mother', 'The Skin I Live In', 'High Heels', 'The Flower of My Secret'","Actress, Additional Crew",26 wins & 12 nominations
6068,Marisa Román,1982.0,"'Ciudad bendita', 'De todas maneras Rosa', 'Theresa & Allison', 'The Zero Hour'",Actress,0
6069,Marisa Tomei,1964.0,"'My Cousin Vinny', 'The Wrestler', 'In the Bedroom', 'The Big Short'","Actress, Producer, Director",8 wins & 19 nominations
6070,Mariska Hargitay,1964.0,"'Law & Order: Special Victims Unit', 'Tales from Earthsea', 'Lake Placid', 'Leaving Las Vegas'","Actor, Editor, Soundtrack",0
6071,Marisol Mendez,,"'30 días antes', 'La Duda'","Actress, Director, Writer",0
6072,Marissa Bush,,"'The Cold Day in Hell', 'The Last Pageant'",Actor,0
6073,Marissa King,1991.0,'Gymnast',Actor,0
6074,Marithé Anguiano,,'Voces',"Actor, Producer, Director",0
6075,Mariya Mironova,1974.0,"'Night Watch', 'Day Watch', 'The Courier', 'Krik sovy'","Writer, Producer, Director",Won 3 Primetime Emmys: 5 wins & 7 nominations total
6076,Marjorie Estiano,1982.0,"'Under Pressure', 'Pages of Life', 'Good Manners', 'Side by Side'",Actress,1 win
6077,Marjorie Wellin,,"'Kiss & Tell', 'Mad About You', 'Bit Players'","Actor, Writer, Producer",0
6078,Mark Adams,,"'Eurovision Song Contest: The Story of Fire Saga', 'The Things I Haven't Told You', 'Murder in Provence', 'Cobra'",Actress,0
6079,Mark Aizikovitsch,1946.0,"'D'artagnan and Three Musketeers', ''Ne günstige Gelegenheit', 'Du bist nicht allein', 'Das Apfelbaumhaus'","Actor, Music Department",0
6080,Mark Arnold,1957.0,"'Blade Runner 2049', 'Teen Wolf', 'Angel Has Fallen', 'Zack Snyder's Justice League'","Actor, Producer",1 win
6081,Mark Bate,1970.0,"'Law & Order', '24 Nights', 'Searching for Content', 'Loving'","Actor, Writer",1 win & 1 nomination
6082,Mark Bennett,,"'It Follows', 'La noche más oscura', 'Piscina infinita', 'C'mon C'mon. Siempre adelante'",Actress,0
6083,Mark Birch,,"'The Fruit Machine', 'Brookside'",Actress,0
6084,Mark Bramhall,,"'Annabelle: Creation', 'Colony', 'Call of Duty: Black Ops', 'Star Trek'","Actor, Writer",1 win
6085,Mark Bryman,,'Loved',Actor,0
6086,Mark Carducci,1982.0,"'Castle', 'Southland', '90210', 'Captain Planet 2'","Actor, Director, Producer",2 wins & 1 nomination
6087,Mark Cheng,1964.0,"'War', 'Cupid One', 'Voodoo', 'Killer'","Actress, Producer, Soundtrack",Won 1 BAFTA Award: 3 wins & 8 nominations total
6088,Mark Christiansen,,"'The Little Mermaid', 'Who Framed Roger Rabbit', 'Oliver & Company', 'An American Tail'","Art Department, Animation Department, Additional Crew",0
6089,Mark Cline,,"'Every Other Night', 'Checked Bags: Short', 'The 7', 'Kill or Be Killed'",Actor,0
6090,Mark Cuban,1958.0,"'Godsend', 'The Jacket', 'Shark Tank', 'Deadfall'","Producer, Actor, Executive",Nominated for 6 Primetime Emmys: 3 wins & 7 nominations total
6091,Mark Diers,,'Exscind',"Actress, Producer, Writer",0
6092,Mark Fleischmann,1973.0,"'Recambio de princesa', 'Infinite', 'Being Human', 'Wolfblood'","Actor, Director, Writer",8 wins & 13 nominations
6093,Mark Hanna,1917.0,"'The Gatling Gun', 'Attack of the 50 Foot Woman', 'Jet Attack', 'Not of This Earth'",Actor,0
6094,Mark Harmon,1951.0,"'NCIS', 'Chasing Liberty', 'Freaky Friday', 'Summer School'","Actor, Producer, Director",Nominated for 2 Primetime Emmys: 4 wins & 17 nominations total
6095,Mark Hindman Smith,,"'Whiteblade', 'Remember, Remember: Grace & Mercy', 'The Fourth Musketeer', 'The Odyssey'","Producer, Actor",0
6096,Mark Kelly,,'No hay datos sobre porqué es conocido',"Cinematographer, Director, Writer",2 nominations
6097,Mark L. Walberg,1962.0,"'Buried History with Mark Walberg', 'Son of the Beach', 'I Want to Marry Ryan Banks', 'Sunday Dinner'","Actress, Soundtrack",Nominated for 2 Primetime Emmys: 1 win & 7 nominations total
6098,Mark Margason,1981.0,"'Man in the Mirror', 'Stagger', 'The Perfect Love Song', 'Life in Colors'",Actor,2 nominations
6099,Mark Margolis,1939.0,"'Pi, fe en el caos', 'Rèquiem per un somni', 'Ace Ventura: Un detective diferente', 'El precio del poder'",Actor,Nominated for 1 Primetime Emmy: 5 nominations total
6100,Mark Martello,,'Sam & Janet',Actress,0
6101,Mark Nilsson,,"'The Lower Circle', 'Chicago P.D.', 'Crisis', '4 and a Half Terrorists'",Actor,0
6102,Mark Pacella,,"'The Covenant', 'Deep Rising', 'The Forbidden Kingdom', 'Flypaper'","Producer, Writer, Director",0
6103,Mark Peckels,,'Scream: Fan Film',"Actor, Writer",0
6104,Mark Ramjohn,,"'The Endeavor', '101 Thugs', 'Seeds of Prime', 'Time Slinger'",Actor,2 wins & 1 nomination
6105,Mark Rector,,'Chad's World',"Actress, Soundtrack",0
6106,Mark Reuter,,'Zoo Family',Actress,0
6107,Mark Richard Jones,,'Chuck Steel: Night of the Trampires',Actress,0
6108,Mark Strong,1963.0,"'1917', 'Shazam!', 'Kingsman: The Secret Service', 'Zero Dark Thirty'","Actor, Director, Writer",5 wins & 4 nominations
6109,Mark Tandy,1957.0,"'The Crown', 'Bridget Jones: The Edge of Reason', 'The Foreigner', 'Maurice'",Actor,0
6110,Mark Valley,,"'Stolen', 'Boston Legal', 'Batman: The Dark Knight Returns, Part 2', 'Keen Eddie'","Actor, Writer, Producer",1 nomination
6111,Mark Webb,1980.0,"'Scott Pilgrim vs. the World', 'The End of Love', '13 Sins', 'Explicit Ills'",Actress,0
6112,Marko Juraga,1984.0,"'Game of Thrones', 'TV teatar', 'Fragments: Chronicle of a Vanishing', 'Sverceri hlapic'","Actor, Producer",0
6113,Markus Knüfken,1965.0,"'Knockin' on Heaven's Door', 'Millennium Mann', 'Auf Achse', 'Maja'",Actor,1 win & 4 nominations
6114,Markus Waldow,,"'Elephant White', 'Thani Oruvan', 'Bad Genius', 'Ninja: Shadow of a Tear'",Actor,0
6115,Marla McLean,,'Suits',"Special Effects, Stunts",Won 2 Oscars: 15 wins & 53 nominations total
6116,Marla Sokoloff,1980.0,"'The Practice', 'Dude, Where's My Car?', 'Sugar & Spice', 'Full House'",Actor,0
6117,Marlene Brehm,,"'The Christmas Rebound', 'Without a Trace', 'That '70s Show', 'A Noble Way'",Actress,3 wins & 7 nominations
6118,Marlo Mortel,,"'Haunted Mansion', 'Damaso', 'Love Is Blind', 'Ang probinsyano'",Actor,0
6119,Marlon Young,1962.0,"'War of the Worlds', 'V.I.P.', 'Kick!', 'The Hard Times of RJ Berger'","Music Department, Actor, Soundtrack",0
6120,Marlow Barkley,2008.0,"'El país de los sueños', 'El espíritu de la Navidad', 'Single Parents', 'Pequeñas cosas hermosas'",Actress,Nominated for 1 Primetime Emmy: 4 wins & 20 nominations total
6121,Marlyn Mason,1940.0,"'Model Rules', 'Besetment', 'Longstreet', 'Lonely Hearts'","Actress, Producer, Writer",7 wins & 2 nominations
6122,Marnie Alton,,"'Josie and the Pussycats', 'In Hell', 'Replicant', 'The Outer Limits'","Actress, Producer, Writer",0
6123,Marnie McPhail,,"'The Edison Twins', 'The Greatest Game Ever Played', 'Orphan Black: Echoes', 'The Way Home'",Actor,0
6124,Marsha Aruan,,"'Write Me a Love Song', 'Nagih Janji Cinta', 'DreadOut', 'Ratu Dansa'",Actor,0
6125,Marsha Scarbrough,,"'Hard to Kill', 'The Man with Two Brains', 'Moonbeams', 'Bird'",Actor,0
6126,Marshal Hilton,1955.0,"'Primal Rage', 'Astro', 'I Am Alone', 'BeetleBorgs'","Actor, Producer, Additional Crew",2 wins & 1 nomination
6127,Marshall Griffin,,"'The Diplomat', 'Heads of State', 'Houdini and Doyle', 'Being Human'","Actor, Soundtrack",2 wins & 6 nominations
6128,Marta Altinier,,'No hay datos sobre porqué es conocido',"Director, Actress",0
6129,Marta de Frutos,,"'Lección debida', 'Hospital Central', 'Mascotas - La trilogía', 'Fantasma'","Actor, Music Department",0
6130,Marta Vancurová,1948.0,"'Milenci v roce jedna', 'Den pro mou lásku', 'Nevesta', 'Sombras de un verano caluroso'","Actress, Soundtrack",1 win
6131,Martín Adjemián,1932.0,"'Sotto Voce', 'Herencia', '1000 millones', 'Invasion'","Actor, Casting Director",2 nominations
6132,Martín Palomares,,"'Amor xtremo', 'Sleep Dealer', 'One Man Out', 'Travesía del desierto'","Actor, Camera and Electrical Department, Sound Department",0
6133,Martín Zapata,,"'Kung Pow: Enter the Fist', 'Love in the Ruins', 'Thumbtanic'","Actor, Music Department, Producer",1 nomination
6134,Marthe Gauthier,,"'Noctambule', 'Sleeping City - La ville endormie a prologue for Noctambule'","Actor, Additional Crew",1 win
6135,Marthe Villalonga,1932.0,"'Mi estación preferida', 'Le lait de la tendresse humaine', 'Un elefante se equivoca enormemente', 'Nés de la mère du monde'","Actress, Soundtrack",2 wins & 1 nomination
6136,Martin,1942.0,"'Taxi Driver', 'Mean Streets', 'Goodfellas', 'The Age of Innocence'","Producer, Director, Actor",Won 1 Oscar: 173 wins & 282 nominations total
6137,Martin Angerbauer,,"'Atomic Blonde', 'The Witcher', '12 Monkeys', 'Berlin Station'","Actor, Soundtrack",2 wins
6138,Martin Brambach,1967.0,"'La vida dels altres', 'The reader - El lector', 'Good bye, Lenin!', 'Der Fall Barschel'","Actress, Soundtrack",3 nominations
6139,Martin Cochingco,,"'The Last of Us', 'Shogun', 'Easter Sunday', 'Avatar: The Last Airbender'",Actress,0
6140,Martin Dejdar,1965.0,"'Ucitel tance', 'Zdivocelá zeme', 'Amerika', 'The Manor'",Actor,0
6141,Martin Dolejsí,,'Kidnapping',"Makeup Department, Special Effects, Actor",0
6142,Martin Ezelle,,"'Longmire', 'Strait & Narrow', 'Dallas', 'Hiding in Plain Sight'",Actr,0
6143,Martin F. Glynn,,'Bonnie & Clyde vs. Dracula',Actress,0
6144,Martin Fischerauer,,"'Der Fall des Lemming', 'SOKO Donau', 'Regentage'","1987, A, 1h 38m",Nominated for 1 Oscar: 7 wins & 10 nominations total
6145,Martin Glade,,"'The Baader Meinhof Complex', 'U-571', 'The Fifth Estate', 'Doppelter Einsatz'","Actor, Additional Crew",1 win
6146,Martin Hancock,,"'Deseando libertad', 'El reino de los cielos', 'Resistència', 'Hannibal, el origen del mal'","Actress, Soundtrack, Music Department",4 wins & 9 nominations
6147,Martin McCann,1983.0,"'The Survivalist', 'Blue Lights', 'Calibre', 'Marcella'",Actress,0
6148,Martin Metodiev,,"'Petya na moyata Petya', 'Rumbata, Me and Ronaldo'",Actor,0
6149,Martin Sensmeier,1985.0,"'Els set magnífics', '1883', 'Westworld', 'Wind River'","Actor, Soundtrack",1 win & 1 nomination
6150,Martin Short,1950.0,"'Innerspace', 'The Santa Clause 3: The Escape Clause', 'Inherent Vice', 'Three Amigos!'","Actor, Writer, Producer",Won 2 Primetime Emmys: 15 wins & 74 nominations total
6151,Martina Jurcíková,,'Alternate',Actress,0
6152,Marty Lindquist,,"'Dreamtime', 'Believe in You', 'Saving Dreams', 'Unhappy Happy'","Actor, Editor, Director",0
6153,Marvin Agustin,1979.0,"'Ang tanging ina', 'Kutob', 'Flames: The Movie', 'Babangon ako't dudurugin kita'","Actor, Director, Writer",34 wins & 34 nominations
6154,Mary Alice,1936.0,"'The Matrix Revolutions', 'Awakenings', 'Malcolm X', 'I'll Fly Away'","Actor, Producer, Writer",0
6155,Mary Allen,,"'Monty Python and the Holy Grail', 'Harvester', 'A Town Like Alice', 'Twin Town'",Actor,0
6156,Mary Andrews,,"'Inspector Gadget', 'Cats & Dogs', 'Armageddon', 'X-Men'",Actress,0
6157,Mary Anne Garrett,,"'Lost in Reality', 'Falling Backwards', 'Is That a Real Gun?', 'Dead Ahead'","Camera and Electrical Department, Actor, Director",0
6158,Mary Cameron Rogers,,"'River', 'Under the Silver Lake', 'Cherry Ln.', 'The Last'",Actress,1 nomination
6159,Mary Elaine Monti,,"'Lobos de Wall Street', 'Ley y orden: Unidad de Víctimas Especiales', 'Park Place', 'Revolution #9'",Actor,0
6160,Mary Guzzy,,'Here Alone',Actress,0
6161,Mary Jane Lowe,,"'Leo?', 'Mile End', 'Cortisol', 'Living the Part'",Actress,0
6162,Mary Jo Cuppone,,"'The Ugly One: Thor's Revenge', 'Dead End Road', 'Eloise', 'Figure in the Forest'","Writer, Producer, Actor",0
6163,Mary K. DeVault,,"'Rutherford Falls', 'Modern Family', 'This Is Us', 'Frasier'","Actor, Director, Producer",0
6164,Mary Micari,,"'Slings & Arrows', 'Color of Truth', 'Duane Incarnate'",Actor,0
6165,Mary Nieves,,"'Moondance', 'Safety Geeks: SVI', 'Float', 'The Young and the Restless'",Actor,0
6166,Mary Passeri,,"'C'mon C'mon. Siempre adelante', 'Mujeres desesperadas', 'Amigas a destiempo', 'Los Thundermans'","Actor, Director, Soundtrack",5 wins & 5 nominations
6167,Mary Price Moore,,"'Bare', 'M.F.A.', 'Jone', 'The Golden Gate'","Actor, Producer",0
6168,Mary Steenburgen,1953.0,"'Last Vegas', 'Step Brothers', 'Back to the Future Part III', 'Time After Time'","Actress, Producer, Music Department",Won 1 Oscar: 30 wins & 27 nominations total
6169,Mary Tyler Moore,,'No hay datos sobre porqué es conocido',"Actor, Additional Crew",0
6170,Mary Wickes,1910.0,"'Sister Act Una monja de cuidado', 'Nadal blanc', 'Sister Act 2: De vuelta al convento', 'El jorobado de Notre Dame'","Actress, Additional Crew, Soundtrack",Nominated for 1 Primetime Emmy: 1 win & 2 nominations total
6171,Maryam d'Abo,1960.0,"'The Living Daylights', 'Dorian Gray', 'Everything I Ever Wanted to Tell My Daughter About Men', 'Helen of Troy'","Actress, Producer, Director",1 win & 1 nomination
6172,Maryam Ghaeni,,"'Afghan Knights', 'Kayan'",Actor,0
6173,Maryann Wright,,'The Hairy Bikers' Food Tour of Britain',Actor,0
6174,Maryanne Piccolo,,"'Bhoner: The Movie', 'Abigail's Dawning', 'And, We're Out of Time'","Actor, Cinematographer",0
6175,Marykate Henry,,'The Mountain Kings',"Actor, Additional Crew",0
6176,Masaaki Takarai,1975.0,"'Shiko funjatta.', 'That's Cunning! Shijo saidai no sakusen', 'Mizu no naka no hachigatsu', 'Dai-nana kankai hoko: Osaki Midori o sagashite'","Producer, Writer, Actor",Won 1 Oscar: 82 wins & 114 nominations total
6177,Masahiro Motoki,1965.0,"'Departures', 'Chûgoku no chôjin', 'Sumo Do, Sumo Don't', 'The Big Bee'","Actress, Producer, Director",8 wins & 17 nominations
6178,Masakazu Mimura,1967.0,"'Maru maru chibi Maruko-chan', 'Peanuts', 'Kazura', 'Uchimura Summers the Movie: Angel'","Actor, Producer, Writer",10 wins & 7 nominations
6179,Masaki Suda,1993.0,"'Wilderness: Part One', 'Kamen Rider Movie War Mega Max: Kamen Rider vs. Kamen Rider Fourze & OOO', 'Kamen Rider W Forever: A to Z/The Gaia Memories of Fate', 'Kamen Rider W'","Actor, Art Director, Writer",4 wins & 1 nomination
6180,Masanori Ikeda,,"'Rurouni Kenshin', 'J-Stars Victory Vs', 'Kamen Rider Wizard', 'Jin'",Actress,0
6181,Masataka Fujishige,,"'Tomica Hero: Rescue Force', 'Peanuts', 'Mitorishi', 'Omote to ura'",Actor,0
6182,Masato Furuoya,1957.0,"'Hipokuratesu-tachi', 'Uchuu no hosoku', 'Endoresu warutsu', 'Eien no ko'",Actor,4 wins
6183,Masato Hagiwara,1971.0,"'Cure', 'Kyôso tanjô', 'A Class to Remember', 'Tsuki wa dotchi ni dete iru'","Actress, Writer",0
6184,Masatoshi Nagase,1966.0,"'Mystery Train', 'Paterson', 'Musuko', 'Mo no shigoto'","Actor, Producer",0
6185,Masaya Katô,1963.0,"'Drive', 'Godzilla', 'Samurai Resurrection', 'The Setting Sun'","Actress, Music Department, Soundtrack",0
6186,Masiela Lusha,1985.0,"'El mal que esconde el olvido', 'El último Sharknado: Ya era hora', 'George Lopez', 'Fatal instinct Por instinto'","Actress, Stunts, Camera and Electrical Department",0
6187,Masoumeh Mirhosseini,1973.0,"'Jenayat', 'Divar', 'Ghowl', 'Makhmase'","Actress, Soundtrack",1 win & 1 nomination
6188,Massimo De Francovich,1936.0,"'La gran bellesa', 'Pasolini, un crimen italiano', 'Zgodbe iz kostanjevih gozdov', 'Miquel Àngel: El pecat'","Actor, Additional Crew",4 wins
6189,Massimo Wertmüller,1956.0,"'Barney's Version', 'The Voyage of Captain Fracassa', 'Io... donna', 'In nome del popolo sovrano'","Actor, Director",1 win & 2 nominations
6190,Master Nivedh,,'Bannerghatta',Actress,0
6191,Masumeh Makhija,1984.0,"'Maqbool', 'Woh Lamhe ...', 'Alibaug', 'Chupke Se'","Actress, Producer, Second Unit Director or Assistant Director",1 win & 4 nominations
6192,Mat Holt,,"'Gatwick Gangsters', 'Essex Boys: Law of Survival', 'Let's Be Frank', 'The Howling'","Actress, Writer, Producer",1 win & 2 nominations
6193,Matey Genchev,,"'Byagaj', 'Levski', 'Inches from the Ground', 'Runaway Smartphone'",Actress,0
6194,Mather Zickel,1970.0,"'Rachel Getting Married', 'I Love You, Man', 'Balls of Fury', 'The Ten'",Actress,1 win & 1 nomination
6195,Mathias Muchus,1957.0,"'Toba Dreams', 'Pengejar Angin', 'Hari Ini Pasti Menang', 'Rindu purnama'","Actor, Director, Writer",2 wins & 4 nominations
6196,Mathieu Carrière,1950.0,"'Solamente en verano', 'El joven Torless', 'Salt quàntic', 'Le neveu de Beethoven'","Actor, Writer, Director",1 win
6197,Mathieu Demy,1972.0,"'On the Verge', 'The Bureau', 'Tomboy', 'Jeanne and the Perfect Guy'","Actor, Soundtrack",1 nomination
6198,Mathilda May,1965.0,"'Lifeforce: Fuerza vital', 'The Jackal Chacal', 'El grito de la lechuza', 'Isabelle Eberhardt'",Actor,5 wins & 1 nomination
6199,Mathilde Ollivier,1994.0,"'Overlord', '1899', 'The Upright Woman', 'Mrs. Davis'",Actress,1 nomination
6200,Mathilde Seigner,1968.0,"'Harry, un amic que us estima', 'Betty Fisher y otras historias', 'Rosine', 'La chica de París'",Actress,0
6201,Matilda Evans,1995.0,"'The Next Big Thing', 'Flunk'","Actress, Producer",1 win & 2 nominations
6202,Matilde Luna,,"'Island of the Dolls', 'Salto a la vida', 'La rosa de Guadalupe', 'La danza de las fieras'",Actress,0
6203,Matlyn Rybak,,"'Unconditional', 'Sink', 'Nobody's Hero', 'The Sound of Shadows'","Editor, Director, Writer",0
6204,Matt Berberi,1984.0,"'Infinite', 'Westworld', 'The Matrix Resurrections', 'John Wick: Chapter 3 - Parabellum'",Actress,0
6205,Matt Boone,,"'Danger! Danger!', 'The West and the Ruthless', 'Haunting of the White Sparrow', 'One Shot'","Actor, Director, Writer",0
6206,Matt Connor,,"'Remember', 'Lockwood', 'Abnormal Attraction', 'Pyewacket'",Actress,0
6207,Matt Conway,,"'Dragonball Evolution', 'R.I.P.D.', 'Guardians of the Galaxy Vol. 2', 'The Day the Earth Stood Still'","Actor, Producer, Writer",1 win & 1 nomination
6208,Matt Craven,1956.0,"'Crimson Tide', 'A Few Good Men', 'X-Men: First Class', ""Jacob's Ladder""",Producer,0
6209,Matt Gerald,,"'Daredevil', 'Avatar', 'Dexter', 'San Andreas'",Actor,0
6210,Matt Goodrich,,"'5iveSenses', 'Alone with Company'",Actr,0
6211,Matt Hopkins,,"'FBI: Most Wanted', 'Twisted Metal', 'Fleishman Is in Trouble', 'Law & Order'",Actor,0
6212,Matt Horwath,,'The Tower',Actor,0
6213,Matt Hurd,,"'The Congressman', 'Open House'",Actor,0
6214,Matt Johnstone,,"'The Perfect Ones', 'Fest Selects: Best Gay Shorts, Vol. 1', 'Were the World Mine', 'Out in the Dark'","Writer, Producer, Actress",7 wins
6215,Matt Jones,1981.0,"'Bob Hearts Abishola', 'Mom', 'El Camino: A Breaking Bad Movie', 'Breaking Bad'","Actor, Director, Writer",4 wins & 6 nominations
6216,Matt L. Hahn,,"'Legacy of Snakes', 'A Fine Line', 'Generation Hack', 'Tiger Lily'","Actress, Make-Up Department, Costume and Wardrobe Department",0
6217,Matt Lanter,1983.0,"'Disaster Movie', 'Star Wars: The Clone Wars', 'Híncame el diente', 'Star-Crossed'","Actor, Director, Editor",0
6218,Matt Malloy,1963.0,"'Al límite de la verdad', 'Armageddon', 'Muérete, bonita', 'El caçarecompenses'","Actor, Producer, Writer",Nominated for 1 Oscar: 13 wins & 21 nominations total
6219,Matt Nable,1972.0,"'Riddick', 'Arrow', 'East West 101', 'Underbelly'",Actor,5 wins & 9 nominations
6220,Matt Potter,,'After the Verdict',Actress,0
6221,Matt Rasmussen,,"'The Devil's in the Detail', 'The King of Halloween Movie Special: Part I', 'Spooked in Bridgewater', 'Dawn of the Living: The Last Zombie'","Actress, Producer, Director",1 win
6222,Matt Rife,1995.0,"'Wild 'N Out', 'Gamer's Guide to Pretty Much Everything', 'WTH: Welcome to Howler', 'Clash of Karts Mario Kart 8'","Camera and Electrical Department, Make-Up Department, Sound Department",0
6223,Matt Robards,,'Specimen 0625c',Actress,0
6224,Matt Roehler,,"'2013: Holocaust', 'Sylvester Stallone Movie Reviews', 'The Roadwarrior Drake Analysis'","Writer, Director, Actress",1 win
6225,Matt Seidman,,"'Law & Order: Special Victims Unit', 'Primary Hitman', 'Company K', 'Sovereignty'","Actress, Additional Crew",0
6226,Matt Simberg,,'Malevolent Ascent',Actress,0
6227,Matt Skinner,,"'Arena Wars', 'The 3rd Channel', 'They Came Back from Somewhere', 'Waspzilla'",Actor,0
6228,Matt Ward,,"'Arrow', 'TRON: Legacy', 'Charlie St. Cloud', 'Red Riding Hood'",Actor,0
6229,Matteo Carsetti,,'Il cerchio dei morti',Actress,0
6230,Matteo Colombo,,"'Waning Moon', 'X Factor'",Actor,0
6231,Matthew Bennett,1968.0,"'Battlestar Galactica', 'Orphan Black', 'Taken', 'Murdoch Mysteries'","Actor, Writer, Producer",5 nominations
6232,Matthew Cunningham,,"'G.I. Joe: La venganza', 'Aquaman', 'El escuadrón suicida', 'Godzilla: Rey de los monstruos'",Actress,0
6233,Matthew Durham,,"'Parc Juràssic', 'Dummy Doc', 'Higher Education', 'Deadly Love'",Actor,0
6234,Matthew Edison,1975.0,"'Interstate 60: Episodes of the Road', 'Mama', 'At the Hotel', 'The Boys'",Actor,4 wins & 7 nominations
6235,Matthew F. Rios,1989.0,"'The Break Up', 'EX', 'Silent Battles', 'Beautiful Something'","Actor, Producer, Director",4 wins & 1 nomination
6236,Matthew Fahey,1990.0,"'Animal Kingdom', 'Awkward.', 'Holden On', 'The Fall'","Actor, Writer, Art Department",0
6237,Matthew John Armstrong,1973.0,"'American Dreams', 'American Horror Story', 'Herois', 'Bones'","Actor, Music Department, Producer",2 nominations
6238,Matthew Lawrence,1980.0,"'Mrs. Doubtfire', 'The Hot Chick', 'Brotherly Love', 'Boy Meets World'","Actress, Soundtrack",3 wins & 2 nominations
6239,Matthew Macfadyen,1974.0,"'Succession', 'Death at a Funeral', 'The Three Musketeers', 'Pride & Prejudice'","Actor, Director, Writer",10 wins & 12 nominations
6240,Matthew Mark Hunter,,"'The Tale of the Bone Collector', 'Darkside Stories: The Retelling', 'Danny Hall the Killer Crab Elf', 'Darkside Stories'","Actor, Producer",0
6241,Matthew Mercer,1982.0,"'Thundercats', 'Fallout 4', 'Resident evil: La maldición', 'Batman: Arkham Origins'","Actor, Producer",1 win & 1 nomination
6242,Matthew Miniero,,"'The Home', 'Boarding School', 'Blue Bloods', 'The Blacklist'",Actress,0
6243,Matthew Nette,,"'Murdoch Mysteries', 'Flashpoint', 'Pure', 'Total Recall'",Actress,0
6244,Matthew Ryan Michaels,,"'The Book of Life', 'Mortimer's Search for Mr. Fluffy Furr', 'Dr. Morse, LLC', 'Life in Pieces'",Actor,0
6245,Matthew Shapiro,,"'Old Days', 'After Earth', 'La maravillosa Sra. Maisel', 'Glass Cristal'",Actor,0
6246,Matthew Silva,,"'Intense Battles Reloaded', 'Dominic Bane', 'Lullaby', 'I Got Now'","Actor, Producer",1 win
6247,Matthew van Norden,,"'No Such Thing', 'Little Bro', 'The Smog', 'Galaxies'","Actor, Producer",0
6248,Matthew Walker,1968.0,"'Halloween 5: The Revenge of Michael Myers', 'Raising Helen', 'Mother's Day', 'Valentine's Day'",Actress,0
6249,Matthew Wayne Roberts,,"'Madness: Project Nexus Cinematic', 'Tearsucker', 'Grown-ish', 'General Hospital'","Actress, Producer, Additional Crew",0
6250,Matthew Wood,1972.0,"'Star Wars: Episode III - Revenge of the Sith', 'Super 8', 'Rogue One: A Star Wars Story', 'Star Wars: Episode VIII - The Last Jedi'",Actor,3 wins & 1 nomination
